"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.088654997E2,6.499740206E1,2.546389410E1,-3.951243826E0,1.719283041E0,3.569998303E2,4.700402484E0,3.425018762E0
2.098654953E2,6.499741874E1,2.546391480E1,-3.845553283E0,1.709130554E0,4.861879556E0,4.701227879E0,3.423885725E0
2.108654906E2,6.499743588E1,2.546391928E1,-4.594533576E0,1.745572688E0,8.950169562E0,4.706171820E0,3.417087040E0
2.118654864E2,6.499745334E1,2.546391500E1,-4.190322637E0,1.749950565E0,1.767946983E0,4.707088130E0,3.415824698E0
2.128654823E2,6.499746765E1,2.546389724E1,-4.329459252E0,1.720656024E0,3.481581940E2,4.709072838E0,3.413088050E0
2.138654779E2,6.499748362E1,2.546388857E1,-3.945307784E0,1.708491548E0,3.493952723E2,4.707814324E0,3.414823761E0
2.148654740E2,6.499750062E1,2.546388493E1,-3.759227744E0,1.739690051E0,3.523115925E2,4.705250996E0,3.418354881E0
2.158654698E2,6.499751669E1,2.546388397E1,-4.206825311E0,1.733419413E0,3.563339424E2,4.707303857E0,3.415527401E0
2.168654647E2,6.499753125E1,2.546387970E1,-4.163244559E0,1.744741755E0,3.544139090E2,4.707936616E0,3.414655159E0
2.178654597E2,6.499754582E1,2.546387228E1,-4.393851730E0,1.747564821E0,3.515374107E2,4.707898377E0,3.414707880E0
2.188654566E2,6.499756216E1,2.546387375E1,-4.390752961E0,1.763698007E0,3.557426680E2,4.707991390E0,3.414579638E0
2.198654522E2,6.499757858E1,2.546387281E1,-4.346277271E0,1.785547163E0,3.567481007E2,4.708118276E0,3.414404682E0
2.208654469E2,6.499759644E1,2.546386477E1,-3.438188821E0,1.798329022E0,3.535036018E2,4.707778322E0,3.414873395E0
2.218654423E2,6.499761287E1,2.546386512E1,-4.172949989E0,1.831262970E0,3.553147450E2,4.705567383E0,3.417919344E0
2.228654386E2,6.499762784E1,2.546386584E1,-4.456422165E0,1.743056048E0,3.566142548E2,4.708596663E0,3.413744937E0
2.238654345E2,6.499764357E1,2.546384523E1,-4.187786812E0,1.761800174E0,3.443662173E2,4.708594622E0,3.413747753E0
2.248654300E2,6.499766042E1,2.546384891E1,-3.854919432E0,1.767677672E0,3.513464353E2,4.700392881E0,3.425031941E0
2.258654258E2,6.499767882E1,2.546384997E1,-2.724281690E0,1.776305516E0,3.551630696E2,4.699451844E0,3.426323015E0
2.268654208E2,6.499769645E1,2.546385041E1,-2.646741092E0,1.790790648E0,3.566961567E2,4.699414763E0,3.426373873E0
2.278654165E2,6.499771159E1,2.546385157E1,-3.811504232E0,1.759450062E0,3.574005953E2,4.702318535E0,3.422387679E0
2.288654118E2,6.499772800E1,2.546384485E1,-2.845543687E0,1.816248851E0,3.568379503E2,4.702155628E0,3.422611501E0
2.298654078E2,6.499774450E1,2.546382900E1,-3.030326753E0,1.830219517E0,3.522605479E2,4.701621567E0,3.423345100E0
2.308654033E2,6.499776108E1,2.546383515E1,-4.065831245E0,1.786863496E0,1.690264803E0,4.705080172E0,3.418590003E0
2.318653985E2,6.499777822E1,2.546382989E1,-4.090818824E0,1.785262695E0,3.570101113E2,4.706657192E0,3.416418462E0
2.328653942E2,6.499779413E1,2.546383343E1,-3.722335142E0,1.786910700E0,7.485927722E-1,4.706138978E0,3.417132270E0
2.338653899E2,6.499780877E1,2.546382596E1,-4.219308536E0,1.786640614E0,3.568989169E2,4.706037076E0,3.417272607E0
2.348653855E2,6.499782485E1,2.546382201E1,-3.946022879E0,1.786741391E0,3.562256437E2,4.706052653E0,3.417251155E0
2.358653818E2,6.499783962E1,2.546381831E1,-3.828586929E0,1.782754343E0,3.550340171E2,4.703815613E0,3.420329767E0
2.368653772E2,6.499785492E1,2.546381557E1,-4.223759781E0,1.806788568E0,3.532991767E2,4.704029701E0,3.420035322E0
2.378653715E2,6.499787073E1,2.546383100E1,-4.161699333E0,1.836111070E0,6.144897633E0,4.702443002E0,3.422216657E0
2.388653682E2,6.499788577E1,2.546382280E1,-4.064262076E0,1.803335936E0,3.598038937E2,4.703478307E0,3.420793599E0
2.398653637E2,6.499790065E1,2.546381099E1,-4.145326780E0,1.799459961E0,3.530320589E2,4.704000986E0,3.420074817E0
2.408653591E2,6.499791660E1,2.546381708E1,-4.105499942E0,1.788906253E0,3.598345866E2,4.703719452E0,3.420462008E0
2.418653549E2,6.499793123E1,2.546381467E1,-4.157694184E0,1.767997597E0,3.578685785E2,4.695458399E0,3.431793621E0
2.428653500E2,6.499794753E1,2.546381690E1,-3.926356656E0,1.788063140E0,9.739882541E-1,4.697245223E0,3.429347510E0
2.438653455E2,6.499796280E1,2.546380737E1,-3.975080132E0,1.799985644E0,3.545943138E2,4.697712245E0,3.428707730E0
2.448653413E2,6.499797935E1,2.546380628E1,-4.331731302E0,1.797861152E0,3.554818665E2,4.698736496E0,3.427303951E0
2.458653367E2,6.499799390E1,2.546380346E1,-4.284005877E0,1.795055420E0,3.551491822E2,4.700840142E0,3.424418052E0
2.468653330E2,6.499800991E1,2.546379964E1,-4.029897667E0,1.787730758E0,3.548788569E2,4.702100987E0,3.422686567E0
2.478653281E2,6.499802388E1,2.546379387E1,-3.846670936E0,1.766881251E0,3.526870637E2,4.702318114E0,3.422388259E0
2.488653237E2,6.499803987E1,2.546379630E1,-4.692561243E0,1.791180069E0,3.571357010E2,4.704754226E0,3.419038565E0
2.498653188E2,6.499805552E1,2.546379298E1,-3.957221645E0,1.763313973E0,3.572733935E2,4.704913001E0,3.418820072E0
2.508653152E2,6.499807120E1,2.546379480E1,-4.656081317E0,1.786198501E0,3.593336739E2,4.705708467E0,3.417725100E0
2.518653100E2,6.499808602E1,2.546379196E1,-4.245008087E0,1.783186372E0,3.571060350E2,4.706933273E0,3.416038084E0
2.528653061E2,6.499810205E1,2.546379084E1,-4.132879024E0,1.783645852E0,3.574531369E2,4.705648788E0,3.417807267E0
2.538653017E2,6.499811718E1,2.546379476E1,-3.785955264E0,1.785647776E0,8.318866510E-1,4.706033897E0,3.417276984E0
2.548652964E2,6.499813255E1,2.546379195E1,-3.673229598E0,1.797567982E0,3.572881188E2,4.705349579E0,3.418219181E0
2.558652927E2,6.499814773E1,2.546379471E1,-3.318033007E0,1.788708076E0,1.560026884E0,4.706266309E0,3.416956901E0
2.568652880E2,6.499816350E1,2.546379425E1,-3.715639633E0,1.792735537E0,2.245971840E0,4.708098186E0,3.414432383E0
2.578652843E2,6.499817755E1,2.546378571E1,-3.368549591E0,1.766611172E0,3.552015082E2,4.709358984E0,3.412693217E0
2.588654830E2,6.499819178E1,2.546378951E1,-2.922370268E0,1.763947093E0,3.577141351E2,4.708299336E0,3.414155004E0
2.598654852E2,6.499820750E1,2.546378499E1,-2.412579736E0,1.771875682E0,3.573495489E2,4.702960732E0,3.421505135E0
2.608654872E2,6.499822141E1,2.546378240E1,-2.021776680E0,1.767722852E0,3.579319007E2,4.703203459E0,3.421171474E0
2.618654925E2,6.499823536E1,2.546378252E1,-1.574362871E0,1.712873590E0,3.586647336E2,4.701191624E0,3.423935505E0
2.628654990E2,6.499825056E1,2.546378070E1,-1.627763839E0,1.724084033E0,3.594951447E2,4.700352220E0,3.425087742E0
2.638655035E2,6.499826594E1,2.546377946E1,-1.607354326E0,1.746521851E0,3.576835047E2,4.699142743E0,3.426746929E0
2.648655072E2,6.499828074E1,2.546377107E1,-1.013468695E0,1.750230628E0,3.537925718E2,4.700488480E0,3.424900740E0
2.658655157E2,6.499829586E1,2.546376276E1,-1.141665328E0,1.760933679E0,3.503398666E2,4.699326509E0,3.426494914E0
2.668655233E2,6.499831221E1,2.546376649E1,-8.902387647E-1,1.768371890E0,3.583304913E2,4.699788466E0,3.425861265E0
2.678655318E2,6.499832862E1,2.546376904E1,-5.564422635E-1,1.777453480E0,3.583487979E2,4.701141207E0,3.424004730E0
2.688655385E2,6.499834114E1,2.546375245E1,-1.675902726E-1,1.719203246E0,3.477011847E2,4.700552846E0,3.424812399E0
2.698655430E2,6.499835787E1,2.546376198E1,-5.632324237E-1,1.759625817E0,3.567811509E2,4.703236616E0,3.421125892E0
2.708655484E2,6.499837335E1,2.546375907E1,-5.853757029E-1,1.746890895E0,3.577646951E2,4.705632307E0,3.417829958E0
2.718655602E2,6.499838842E1,2.546374782E1,-4.151176065E-1,1.749519027E0,3.525772844E2,4.705285098E0,3.418307941E0
2.728655707E2,6.499840167E1,2.546373157E1,-1.824803958E-1,1.731015993E0,3.442492044E2,4.705823460E0,3.417566765E0
2.738655813E2,6.499841702E1,2.546372809E1,5.223139338E-1,1.726840762E0,3.438337307E2,4.706378756E0,3.416802020E0
2.748655891E2,6.499843118E1,2.546372485E1,9.418843687E-1,1.732938396E0,3.493631646E2,4.706659421E0,3.416415391E0
2.758655981E2,6.499844811E1,2.546372973E1,1.412883882E0,1.751227181E0,3.559034110E2,4.706110040E0,3.417172124E0
2.768656042E2,6.499846414E1,2.546372883E1,1.698008275E0,1.749460357E0,3.554098915E2,4.701052166E0,3.424126978E0
2.778656136E2,6.499848005E1,2.546372950E1,1.688475714E0,1.752774853E0,3.569714168E2,4.702631597E0,3.421957495E0
2.788656175E2,6.499849461E1,2.546373613E1,1.481150512E0,1.741503519E0,1.522204411E0,4.705869232E0,3.417503739E0
2.798656225E2,6.499850867E1,2.546372934E1,2.109405035E0,1.721396795E0,3.552528658E2,4.704737555E0,3.419061504E0
2.808656279E2,6.499852471E1,2.546372564E1,2.169502315E0,1.730011234E0,3.534872046E2,4.703785069E0,3.420371772E0
2.818656330E2,6.499854252E1,2.546373505E1,2.576799306E0,1.727832157E0,1.087081021E0,4.702480707E0,3.422164845E0
2.828656362E2,6.499855724E1,2.546373696E1,1.756571232E0,1.722067423E0,3.525481191E0,4.706109258E0,3.417173201E0
2.838656403E2,6.499857104E1,2.546373367E1,8.979256945E-1,1.670709310E0,1.532141159E0,4.711804495E0,3.409315978E0
2.848656434E2,6.499858772E1,2.546373437E1,1.429075355E0,1.749024147E0,1.009558766E0,4.710991959E0,3.410438651E0
2.858656458E2,6.499860484E1,2.546374488E1,1.310961973E0,1.810389955E0,9.579712349E0,4.704102317E0,3.419935442E0
2.868656477E2,6.499862088E1,2.546374093E1,1.455146646E0,1.766574924E0,5.445582172E0,4.701091627E0,3.424072801E0
2.878656499E2,6.499863549E1,2.546372823E1,7.191754337E-1,1.761771386E0,3.566776609E2,4.703347138E0,3.420973944E0
2.888656511E2,6.499864883E1,2.546371246E1,3.249119557E-1,1.682810814E0,3.465761043E2,4.706952672E0,3.416011355E0
2.898656526E2,6.499866419E1,2.546370834E1,5.589390984E-1,1.706955979E0,3.492091130E2,4.709642350E0,3.412302151E0
2.908656527E2,6.499867988E1,2.546371027E1,9.636812033E-1,1.727043332E0,3.559577231E2,4.706963088E0,3.415997002E0
2.918656547E2,6.499869470E1,2.546371094E1,1.008140706E0,1.730261951E0,3.592355073E2,4.706756033E0,3.416282289E0
2.928656543E2,6.499870896E1,2.546371034E1,1.364284894E0,1.731164900E0,3.596748086E2,4.706717481E0,3.416335403E0
2.938656545E2,6.499872359E1,2.546371441E1,1.085421902E0,1.732661247E0,2.717346996E0,4.707855680E0,3.414766747E0
2.948656543E2,6.499873931E1,2.546371634E1,1.118750263E0,1.724200648E0,4.283238380E0,4.704487522E0,3.419405531E0
2.958656547E2,6.499875405E1,2.546370954E1,1.564005786E0,1.717156598E0,3.596015111E2,4.701531395E0,3.423468939E0
2.968656545E2,6.499876855E1,2.546370234E1,1.290472706E0,1.717675854E0,3.574661803E2,4.696396883E0,3.430509197E0
2.978656535E2,6.499878333E1,2.546370161E1,1.439130019E0,1.735826080E0,3.579568289E2,4.695255729E0,3.432070902E0
2.988656533E2,6.499879816E1,2.546370002E1,8.959802715E-1,1.741493435E0,3.593998775E2,4.695598685E0,3.431601670E0
2.998656520E2,6.499881286E1,2.546370537E1,1.053948691E0,1.705969109E0,4.140606189E0,4.694872573E0,3.432595017E0
3.008656504E2,6.499882995E1,2.546370089E1,6.964907264E-1,1.730426355E0,3.475919775E0,4.694994606E0,3.432428102E0
3.018656497E2,6.499884525E1,2.546369156E1,9.686974287E-1,1.736463578E0,4.548512434E-1,4.692054103E0,3.436446614E0
3.028656487E2,6.499886011E1,2.546368327E1,2.187631910E0,1.667331009E0,3.588584652E2,4.688281553E0,3.441591654E0
3.038656466E2,6.499887433E1,2.546369263E1,2.561981958E0,1.683082014E0,5.950852844E0,4.688182056E0,3.441727189E0
3.048656455E2,6.499888742E1,2.546370052E1,2.361702424E0,1.693756718E0,8.539583873E0,4.690556902E0,3.438489928E0
3.058656427E2,6.499890032E1,2.546373426E1,2.462730553E0,1.728920141E0,2.493690358E1,4.693272068E0,3.434783010E0
3.068656412E2,6.499891255E1,2.546375503E1,2.294543207E0,1.722591657E0,2.782527484E1,4.693152940E0,3.434945780E0
3.078656399E2,6.499892487E1,2.546377247E1,2.673248215E0,1.677084926E0,2.749441686E1,4.694018878E0,3.433762340E0
3.088656372E2,6.499893041E1,2.546380703E1,2.719160005E0,1.657233722E0,4.579469394E1,4.695809361E0,3.431313375E0
3.098656358E2,6.499893340E1,2.546384377E1,3.279062099E0,1.688486347E0,5.962086483E1,4.698024042E0,3.428280493E0
3.108656332E2,6.499893604E1,2.546387650E1,3.083633240E0,1.710495518E0,6.547635513E1,4.699455966E0,3.426317361E0
3.118656317E2,6.499893373E1,2.546390831E1,2.894430205E0,1.653819279E0,7.714776720E1,4.698753685E0,3.427280386E0
3.128656288E2,6.499892309E1,2.546393218E1,1.776862000E0,1.601378259E0,9.901069897E1,4.701647167E0,3.423309941E0
3.138656267E2,6.499892349E1,2.546391609E1,2.088089501E0,0.000000000E0,1.015257160E2,4.705679083E0,3.417765556E0
3.148656236E2,6.499892349E1,2.546391609E1,2.088089501E0,0.000000000E0,1.015257160E2,4.707707609E0,3.414970879E0
3.158656210E2,6.499892349E1,2.546391609E1,2.088089501E0,0.000000000E0,1.015257160E2,4.710456832E0,3.411177725E0
3.168656186E2,6.499892349E1,2.546391609E1,2.088089501E0,0.000000000E0,1.015257160E2,4.710042582E0,3.411749685E0
3.178656166E2,6.499892349E1,2.546391609E1,2.088089501E0,0.000000000E0,1.015257160E2,4.711178445E0,3.410181035E0
3.188656137E2,6.499891885E1,2.546387171E1,2.877285797E-2,9.052236690E-2,2.125187969E2,4.714256388E0,3.405924800E0
3.198656113E2,6.499892001E1,2.546387039E1,7.196652237E-2,0.000000000E0,2.125187962E2,4.712229962E0,3.408727888E0
3.208656089E2,6.499892001E1,2.546387039E1,7.196652237E-2,0.000000000E0,2.125187962E2,4.712114539E0,3.408887443E0
3.218656062E2,6.499892001E1,2.546387039E1,7.196652237E-2,0.000000000E0,2.125187962E2,4.713137686E0,3.407472698E0
3.228656029E2,6.499892001E1,2.546387039E1,7.196652237E-2,0.000000000E0,2.125187962E2,4.713489284E0,3.406986323E0
3.238655995E2,6.499892001E1,2.546387039E1,7.196652237E-2,0.000000000E0,2.125187962E2,4.714837120E0,3.405120844E0
3.248655967E2,6.499892001E1,2.546387039E1,7.196652237E-2,0.000000000E0,2.125187962E2,4.715475042E0,3.404237383E0
3.258655943E2,6.499892001E1,2.546387039E1,7.196652237E-2,0.000000000E0,2.125187962E2,4.716446571E0,3.402891238E0
3.268655916E2,6.499892001E1,2.546387039E1,7.196652237E-2,0.000000000E0,2.125187962E2,4.717538693E0,3.401377032E0
3.278655887E2,6.499892001E1,2.546387039E1,7.196652237E-2,0.000000000E0,2.125187962E2,4.717371349E0,3.401609117E0
3.288655859E2,6.499892001E1,2.546387039E1,7.196652237E-2,0.000000000E0,2.125187962E2,4.718361837E0,3.400235081E0
3.298655822E2,6.499892001E1,2.546387039E1,7.196652237E-2,0.000000000E0,2.125187962E2,4.714331651E0,3.405820623E0
3.308655800E2,6.499892001E1,2.546387039E1,7.196652237E-2,0.000000000E0,2.125187962E2,4.714121455E0,3.406111557E0
3.318655761E2,6.499892001E1,2.546387039E1,7.196652237E-2,0.000000000E0,2.125187962E2,4.714404054E0,3.405720400E0
3.328655730E2,6.499892001E1,2.546387039E1,7.196652237E-2,0.000000000E0,2.125187962E2,4.715530733E0,3.404160240E0
3.338655705E2,6.499892001E1,2.546387039E1,7.196652237E-2,0.000000000E0,2.125187962E2,4.716270751E0,3.403134913E0
3.348655673E2,6.499892001E1,2.546387039E1,7.196652237E-2,0.000000000E0,2.125187962E2,4.716297865E0,3.403097337E0
3.358655645E2,6.499892001E1,2.546387039E1,7.196652237E-2,0.000000000E0,2.125187962E2,4.715409861E0,3.404327669E0
3.368655610E2,6.499892001E1,2.546387039E1,7.196652237E-2,0.000000000E0,2.125187962E2,4.714870456E0,3.405074686E0
3.378655579E2,6.499892001E1,2.546387039E1,7.196652237E-2,0.000000000E0,2.125187962E2,4.715895017E0,3.403655567E0
3.388655545E2,6.499892001E1,2.546387039E1,7.196652237E-2,0.000000000E0,2.125187962E2,4.715546137E0,3.404138902E0
3.398655515E2,6.499892001E1,2.546387039E1,7.196652237E-2,0.000000000E0,2.125187962E2,4.716255567E0,3.403155955E0
3.408655488E2,6.499889819E1,2.546387371E1,1.398129144E0,2.596593234E-2,2.125187935E2,4.716964183E0,3.402173707E0
3.418655448E2,6.499889830E1,2.546387388E1,1.404600548E0,0.000000000E0,2.125187937E2,4.717783952E0,3.401036844E0
3.428655416E2,6.499889830E1,2.546387388E1,1.404600548E0,0.000000000E0,2.125187937E2,4.717860285E0,3.400930955E0
3.438655388E2,6.499889830E1,2.546387388E1,1.404600548E0,0.000000000E0,2.125187937E2,4.719508435E0,3.398643431E0
3.448655353E2,6.499889830E1,2.546387388E1,1.404600548E0,0.000000000E0,2.125187937E2,4.718912716E0,3.399470519E0
3.458655329E2,6.499889830E1,2.546387388E1,1.404600548E0,0.000000000E0,2.125187937E2,4.719719446E0,3.398350392E0
3.468655289E2,6.499889830E1,2.546387388E1,1.404600548E0,0.000000000E0,2.125187937E2,4.714835819E0,3.405122646E0
3.478655255E2,6.499889830E1,2.546387388E1,1.404600548E0,0.000000000E0,2.125187937E2,4.714620194E0,3.405421186E0
3.488655219E2,6.499889830E1,2.546387388E1,1.404600548E0,0.000000000E0,2.125187937E2,4.714365041E0,3.405774404E0
3.498655194E2,6.499889830E1,2.546387388E1,1.404600548E0,0.000000000E0,2.125187937E2,4.716092283E0,3.403382232E0
3.508655155E2,6.499890076E1,2.546386960E1,2.767254855E0,6.007974620E-2,2.125187910E2,4.715663028E0,3.403976974E0
3.518655121E2,6.499890079E1,2.546387117E1,2.842385534E0,0.000000000E0,2.125187922E2,4.715952348E0,3.403576131E0
3.528655092E2,6.499890079E1,2.546387117E1,2.842385534E0,0.000000000E0,2.125187922E2,4.716174235E0,3.403268667E0
3.538655066E2,6.499890079E1,2.546387117E1,2.842385534E0,0.000000000E0,2.125187922E2,4.717063942E0,3.402035391E0
3.548655030E2,6.499890273E1,2.546385286E1,3.061688189E0,5.894546518E-2,2.125187790E2,4.716892888E0,3.402272552E0
3.558654995E2,6.499890169E1,2.546386827E1,2.983570173E0,4.508766898E-2,2.125187903E2,4.716586179E0,3.402697731E0
3.568654968E2,6.499890204E1,2.546386920E1,2.987258508E0,0.000000000E0,2.125187910E2,4.717392363E0,3.401579975E0
3.578654931E2,6.499890327E1,2.546386272E1,3.293256855E0,0.000000000E0,2.125187865E2,4.717721931E0,3.401122875E0
3.588654890E2,6.499890327E1,2.546386272E1,3.293256855E0,0.000000000E0,2.125187865E2,4.716714910E0,3.402519286E0
3.598654866E2,6.499890327E1,2.546386272E1,3.293256855E0,0.000000000E0,2.125187865E2,4.717037909E0,3.402071487E0
3.608654832E2,6.499890327E1,2.546386272E1,3.293256855E0,0.000000000E0,2.125187865E2,4.717320255E0,3.401679975E0
3.618654801E2,6.499890327E1,2.546386272E1,3.293256855E0,0.000000000E0,2.125187865E2,4.717482528E0,3.401454929E0
3.628654764E2,6.499890327E1,2.546386272E1,3.293256855E0,0.000000000E0,2.125187865E2,4.718192577E0,3.400469944E0
3.638654726E2,6.499890327E1,2.546386272E1,3.293256855E0,0.000000000E0,2.125187865E2,4.718332340E0,3.400276013E0
3.648654697E2,6.499890327E1,2.546386272E1,3.293256855E0,0.000000000E0,2.125187865E2,4.715390460E0,3.404354542E0
3.658654664E2,6.499890327E1,2.546386272E1,3.293256855E0,0.000000000E0,2.125187865E2,4.715624323E0,3.404030593E0
3.668654639E2,6.499890327E1,2.546386272E1,3.293256855E0,0.000000000E0,2.125187865E2,4.715900873E0,3.403647454E0
3.678654602E2,6.499890327E1,2.546386272E1,3.293256855E0,0.000000000E0,2.125187865E2,4.715893229E0,3.403658045E0
3.688654568E2,6.499890327E1,2.546386272E1,3.293256855E0,0.000000000E0,2.125187865E2,4.714536187E0,3.405537486E0
3.698654529E2,6.499890327E1,2.546386272E1,3.293256855E0,0.000000000E0,2.125187865E2,4.715001324E0,3.404893471E0
3.708654500E2,6.499890327E1,2.546386272E1,3.293256855E0,0.000000000E0,2.125187865E2,4.715247432E0,3.404552641E0
3.718654464E2,6.499890327E1,2.546386272E1,3.293256855E0,0.000000000E0,2.125187865E2,4.714433738E0,3.405679309E0
3.728654428E2,6.499889704E1,2.546385717E1,3.499841336E0,0.000000000E0,2.125187808E2,4.714495040E0,3.405594449E0
3.738654402E2,6.499889704E1,2.546385717E1,3.499841336E0,0.000000000E0,2.125187808E2,4.714433014E0,3.405680312E0
3.748654372E2,6.499889704E1,2.546385717E1,3.499841336E0,0.000000000E0,2.125187808E2,4.714353738E0,3.405790051E0
3.758654333E2,6.499889704E1,2.546385717E1,3.499841336E0,0.000000000E0,2.125187808E2,4.714466489E0,3.405633973E0
3.768654305E2,6.499889704E1,2.546385717E1,3.499841336E0,0.000000000E0,2.125187808E2,4.714726054E0,3.405274625E0
3.778654271E2,6.499889704E1,2.546385717E1,3.499841336E0,0.000000000E0,2.125187808E2,4.715353066E0,3.404406336E0
3.788654230E2,6.499889704E1,2.546385717E1,3.499841336E0,0.000000000E0,2.125187808E2,4.715403129E0,3.404336993E0
3.798654195E2,6.499889704E1,2.546385717E1,3.499841336E0,0.000000000E0,2.125187808E2,4.715940765E0,3.403592180E0
3.808654164E2,6.499889704E1,2.546385717E1,3.499841336E0,0.000000000E0,2.125187808E2,4.715494997E0,3.404209742E0
3.818654133E2,6.499889704E1,2.546385717E1,3.499841336E0,0.000000000E0,2.125187808E2,4.709281649E0,3.412799933E0
3.828654096E2,6.499890026E1,2.546388846E1,4.054742559E0,2.080851545E-1,2.125188051E2,4.709285814E0,3.412794186E0
3.838654070E2,6.499890275E1,2.546391550E1,4.185892090E0,1.558581215E-1,2.125188259E2,4.711724724E0,3.409426222E0
3.848653065E2,6.499890379E1,2.546396926E1,3.036882061E0,1.163299659E0,9.493949305E1,4.708433302E0,3.413970251E0
3.858653042E2,6.499890764E1,2.546401341E1,3.328026640E0,1.519150211E0,8.601407435E1,4.707554041E0,3.415182569E0
3.868653070E2,6.499891369E1,2.546403628E1,3.589090885E0,1.337575186E0,7.716164254E1,4.707811822E0,3.414827211E0
3.878653077E2,6.499891871E1,2.546406076E1,3.549426767E0,1.467056911E0,7.821096298E1,4.705656519E0,3.417796623E0
3.888653063E2,6.499891761E1,2.546408469E1,2.573556540E0,1.465477862E0,8.769621223E1,4.705238704E0,3.418371801E0
3.898653136E2,6.499892002E1,2.546413085E1,2.369317996E0,1.882578745E0,8.857102236E1,4.707143899E0,3.415747846E0
3.908653150E2,6.499892766E1,2.546413261E1,1.536484565E0,1.312886810E0,7.847979596E1,4.707700638E0,3.414980488E0
3.918653196E2,6.499893350E1,2.546416059E1,1.385235104E0,1.384008465E0,7.630195920E1,4.708730223E0,3.413560710E0
3.928653300E2,6.499894066E1,2.546418098E1,6.743355487E-1,1.390451270E0,6.951352975E1,4.710089899E0,3.411684361E0
3.938653382E2,6.499894541E1,2.546422853E1,4.940149626E-1,1.728062578E0,6.912576360E1,4.708540504E0,3.413822396E0
3.948653456E2,6.499894524E1,2.546426876E1,7.317706682E-1,1.689855132E0,7.663017810E1,4.707643293E0,3.415059540E0
3.958653597E2,6.499895200E1,2.546429938E1,-1.237578643E-1,1.692401712E0,7.426420790E1,4.707777319E0,3.414874778E0
3.968653669E2,6.499895566E1,2.546433487E1,-4.805270014E-1,1.764342436E0,7.566628139E1,4.705752615E0,3.417664313E0
3.978653672E2,6.499896125E1,2.546437375E1,-5.888382923E-1,1.762724286E0,7.376023717E1,4.704102680E0,3.419934943E0
3.988653786E2,6.499896792E1,2.546440814E1,-4.326580092E-1,1.766475170E0,6.984762945E1,4.706282178E0,3.416935044E0
3.998653882E2,6.499897780E1,2.546444128E1,-2.421879973E-1,1.754506506E0,6.173581668E1,4.699017986E0,3.426918003E0
4.008653967E2,6.499899226E1,2.546446858E1,-1.669421148E0,1.694948450E0,4.980171205E1,4.706578941E0,3.416526263E0
4.018654057E2,6.499901380E1,2.546447757E1,-1.143564524E0,1.735031481E0,3.356173656E1,4.707189389E0,3.415685156E0
4.028654127E2,6.499903536E1,2.546447231E1,-1.947781685E0,1.724984234E0,1.613222587E1,4.707394114E0,3.415403006E0
4.038654195E2,6.499905551E1,2.546447438E1,4.343276778E-1,1.716870620E0,9.815396759E0,4.699503587E0,3.426252044E0
4.048654258E2,6.499907123E1,2.546448355E1,-6.226084959E-1,1.763605481E0,8.147769356E0,4.695984175E0,3.431074127E0
4.058654324E2,6.499908576E1,2.546448381E1,-1.487283249E0,1.683179008E0,4.963423529E0,4.698568349E0,3.427534465E0
4.068654380E2,6.499910188E1,2.546448911E1,-1.118472962E0,1.726676640E0,4.429258420E0,4.702133549E0,3.422641834E0
4.078654424E2,6.499912268E1,2.546448961E1,-2.766296584E-1,1.748064684E0,3.594129767E2,4.697612565E0,3.428844299E0
4.088654474E2,6.499913594E1,2.546450084E1,-5.881286254E-1,1.727268553E0,1.459120961E0,4.692694595E0,3.435571928E0
4.098654510E2,6.499915515E1,2.546448790E1,-1.556044860E0,1.721323727E0,3.559653986E2,4.691130675E0,3.437707087E0
4.108654549E2,6.499916920E1,2.546448464E1,-1.757867618E0,1.745351691E0,3.569604360E2,4.686189115E0,3.444440247E0
4.118654590E2,6.499918271E1,2.546450976E1,-1.792177564E0,1.740644119E0,1.564466894E1,4.678338343E0,3.455095857E0
4.128654615E2,6.499919669E1,2.546450529E1,-2.276800161E0,1.747822819E0,1.136973772E1,4.679934906E0,3.452933000E0
4.138654644E2,6.499921378E1,2.546450451E1,-2.040762122E0,1.751356100E0,4.334944458E0,4.680606446E0,3.452022644E0
4.148654679E2,6.499922876E1,2.546450893E1,-1.952430828E0,1.726113821E0,4.117961899E0,4.679503987E0,3.453516971E0
4.158654693E2,6.499924377E1,2.546450798E1,-1.177507523E0,1.759936320E0,3.074274491E0,4.680451662E0,3.452232505E0
4.168654717E2,6.499925834E1,2.546452266E1,-7.612199914E-1,1.729592515E0,1.012157803E1,4.662445606E0,3.476512333E0
4.178654728E2,6.499927289E1,2.546452592E1,-1.164735319E0,1.718577143E0,1.168058131E1,4.666314370E0,3.471317795E0
4.188654755E2,6.499928723E1,2.546454041E1,-1.801973046E0,1.718851193E0,1.714471873E1,4.676284707E0,3.457874835E0
4.198654764E2,6.499929923E1,2.546456510E1,-9.277135246E-1,1.710538954E0,2.603690260E1,4.681494857E0,3.450817720E0
4.208654780E2,6.499931451E1,2.546457133E1,-2.676015468E-1,1.678612140E0,2.496419575E1,4.686846722E0,3.443545388E0
4.218654791E2,6.499932992E1,2.546457876E1,-2.528456235E-1,1.703398380E0,2.100092214E1,4.693000501E0,3.435154048E0
4.228654795E2,6.499934464E1,2.546458513E1,9.049787465E-1,1.641377949E0,1.996473122E1,4.695421842E0,3.431843639E0
