"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.829282500E-1,1.329581264E0,-2.540281910E-1,-1.573797389E0
7.929272500E-1,1.552108750E0,-7.059051096E-2,-8.498892868E-1
8.029262500E-1,2.088405722E0,-3.285462767E-2,-7.667921662E-1
8.129252500E-1,2.474914716E0,-1.659922197E-1,-1.377058463E0
8.229242500E-1,1.743325712E0,-1.091488051E-1,-2.103565652E0
8.329232500E-1,6.870628957E-1,9.759850770E-2,-2.640820105E0
8.429222500E-1,-7.996008933E-2,3.939561546E-2,-2.914487924E0
8.529212500E-1,-1.881318247E-1,-6.729999036E-2,-2.904268745E0
8.629202500E-1,-1.839534044E-1,1.206046700E-2,-2.623670222E0
8.729192500E-1,-1.976350120E-1,2.039359716E-1,-2.066059272E0
8.829182500E-1,-4.395585895E-2,3.906571555E-1,-1.026525486E0
8.929172500E-1,3.448920219E-1,8.492145181E-1,4.521014518E-1
9.029162500E-1,8.402004504E-1,1.572014573E0,1.394445158E0
9.129152500E-1,1.054365687E0,2.018030535E0,1.561414155E0
9.229142500E-1,1.027559419E0,1.926278658E0,1.277946988E0
9.329132500E-1,7.549217337E-1,1.680615786E0,1.027866837E0
9.429122500E-1,7.401095670E-1,1.470996321E0,7.694280910E-1
9.529112500E-1,9.626047473E-1,1.307774512E0,4.339031625E-1
9.629102500E-1,1.161895983E0,1.283277894E0,-1.276096344E-2
9.729092500E-1,1.021240918E0,1.362722259E0,-9.501082242E-2
9.829082500E-1,7.890558784E-1,1.196694371E0,1.295801461E-1
9.929072500E-1,3.396545246E-1,8.115724826E-1,2.006273246E-1
1.002906250E0,-7.193844035E-2,5.257895252E-1,3.389858955E-1
1.012905250E0,-3.540898383E-2,2.965833494E-1,6.746008712E-1
1.022904250E0,-4.423355784E-1,9.379322746E-1,1.012460008E0
1.032903250E0,-2.378418555E-1,1.345116878E0,7.903079134E-1
1.042902250E0,7.722505420E-1,1.338933447E0,3.343110466E-1
1.052901250E0,1.281355914E0,1.772186691E0,1.828810251E-1
1.062900250E0,1.579820313E0,2.275964081E0,4.283114702E-1
1.072899250E0,1.851216489E0,2.203497783E0,6.123327023E-1
1.082898250E0,1.781901256E0,1.560212553E0,7.674932474E-1
1.092897250E0,1.328534174E0,8.315281525E-1,1.343483166E0
1.102896250E0,4.484558590E-1,6.675617006E-1,3.471383175E0
1.112895250E0,6.629213503E-1,1.431997731E-1,5.594542846E0
